4
  65527                             3241253,1783 
  65528                              530973,7425 
  65529                               86983,8685 
  65530                               14249,6648 
  65531                                2334,2013 
  65532                                 382,1564 
  65533                                  62,3587 
  65534                                  13,2885 
  65535                                   3,8542 
  65536                                   1,5259 
