2
  65527                                   0,0000 
  65528                                   0,0000 
  65529                                   0,0000 
  65530                                   0,0000 
  65531                                   0,0000 
  65532                                   0,0000 
  65533                                   0,0000 
  65534                                   0,0000 
  65535                                   0,0000 
  65536                                   0,0000 
