2
  65527                               34613,4239 
  65528                               11340,0691 
  65529                                3714,9602 
  65530                                1216,6882 
  65531                                 398,1479 
  65532                                 129,9551 
  65533                                  42,0811 
  65534                                  13,2885 
  65535                                   3,8542 
  65536                                   1,5259 
