10
  65527                         73271706601,1794 
  65528                          4801275118,3555 
  65529                           314617955,8556 
  65530                            20616599,9293 
  65531                             1351005,6934 
  65532                               88532,6541 
  65533                                5801,6219 
  65534                                 380,0977 
  65535                                  24,8093 
  65536                                   1,5259 
