1
  65527                                 195,7589 
  65528                                 127,2749 
  65529                                  82,4007 
  65530                                  52,9964 
  65531                                  33,7285 
  65532                                  21,1026 
  65533                                  12,8290 
  65534                                   7,4072 
  65535                                   3,8542 
  65536                                   1,5259 
