6
    900                                   0,1960 
    901                                   0,1961 
    902                                   0,1961 
    903                                   0,1961 
    904                                   0,1962 
    905                                   0,1962 
    906                                   0,1963 
    907                                   0,1963 
    908                                   0,1963 
    909                                   0,1964 
    910                                   0,1964 
    911                                   0,1965 
    912                                   0,1965 
    913                                   0,1965 
    914                                   0,1966 
    915                                   0,1966 
    916                                   0,1966 
    917                                   0,1967 
    918                                   0,1967 
    919                                   0,1968 
    920                                   0,1968 
    921                                   0,1968 
    922                                   0,1969 
    923                                   0,1969 
    924                                   0,1970 
    925                                   0,1970 
    926                                   0,1970 
    927                                   0,1971 
    928                                   0,1971 
    929                                   0,1972 
    930                                   0,1972 
    931                                   0,1972 
    932                                   0,1973 
    933                                   0,1973 
    934                                   0,1973 
    935                                   0,1974 
    936                                   0,1974 
    937                                   0,1975 
    938                                   0,1975 
    939                                   0,1975 
    940                                   0,1976 
    941                                   0,1976 
    942                                   0,1977 
    943                                   0,1977 
    944                                   0,1977 
    945                                   0,1978 
    946                                   0,1978 
    947                                   0,1979 
    948                                   0,1979 
    949                                   0,1979 
    950                                   0,1980 
    951                                   0,1980 
    952                                   0,1981 
    953                                   0,1981 
    954                                   0,1981 
    955                                   0,1982 
    956                                   0,1982 
    957                                   0,1982 
    958                                   0,1983 
    959                                   0,1983 
    960                                   0,1984 
    961                                   0,1984 
    962                                   0,1984 
    963                                   0,1985 
    964                                   0,1985 
    965                                   0,1986 
    966                                   0,1986 
    967                                   0,1986 
    968                                   0,1987 
    969                                   0,1987 
    970                                   0,1988 
    971                                   0,1988 
    972                                   0,1988 
    973                                   0,1989 
    974                                   0,1989 
    975                                   0,1990 
    976                                   0,1990 
    977                                   0,1990 
    978                                   0,1991 
    979                                   0,1991 
    980                                   0,1992 
    981                                   0,1992 
    982                                   0,1992 
    983                                   0,1993 
    984                                   0,1993 
    985                                   0,1994 
    986                                   0,1994 
    987                                   0,1994 
    988                                   0,1995 
    989                                   0,1995 
    990                                   0,1996 
    991                                   0,1996 
    992                                   0,1996 
    993                                   0,1997 
    994                                   0,1997 
    995                                   0,1998 
    996                                   0,1998 
    997                                   0,1998 
    998                                   0,1999 
    999                                   0,1999 
   1000                                   0,2000 
