4
    900                                   0,5472 
    901                                   0,5476 
    902                                   0,5479 
    903                                   0,5483 
    904                                   0,5486 
    905                                   0,5490 
    906                                   0,5493 
    907                                   0,5497 
    908                                   0,5500 
    909                                   0,5504 
    910                                   0,5507 
    911                                   0,5511 
    912                                   0,5514 
    913                                   0,5518 
    914                                   0,5522 
    915                                   0,5525 
    916                                   0,5529 
    917                                   0,5532 
    918                                   0,5536 
    919                                   0,5539 
    920                                   0,5543 
    921                                   0,5546 
    922                                   0,5550 
    923                                   0,5554 
    924                                   0,5557 
    925                                   0,5561 
    926                                   0,5564 
    927                                   0,5568 
    928                                   0,5571 
    929                                   0,5575 
    930                                   0,5578 
    931                                   0,5582 
    932                                   0,5586 
    933                                   0,5589 
    934                                   0,5593 
    935                                   0,5596 
    936                                   0,5600 
    937                                   0,5603 
    938                                   0,5607 
    939                                   0,5611 
    940                                   0,5614 
    941                                   0,5618 
    942                                   0,5621 
    943                                   0,5625 
    944                                   0,5628 
    945                                   0,5632 
    946                                   0,5635 
    947                                   0,5639 
    948                                   0,5643 
    949                                   0,5646 
    950                                   0,5650 
    951                                   0,5653 
    952                                   0,5657 
    953                                   0,5661 
    954                                   0,5664 
    955                                   0,5668 
    956                                   0,5671 
    957                                   0,5675 
    958                                   0,5678 
    959                                   0,5682 
    960                                   0,5686 
    961                                   0,5689 
    962                                   0,5693 
    963                                   0,5696 
    964                                   0,5700 
    965                                   0,5703 
    966                                   0,5707 
    967                                   0,5711 
    968                                   0,5714 
    969                                   0,5718 
    970                                   0,5721 
    971                                   0,5725 
    972                                   0,5729 
    973                                   0,5732 
    974                                   0,5736 
    975                                   0,5739 
    976                                   0,5743 
    977                                   0,5747 
    978                                   0,5750 
    979                                   0,5754 
    980                                   0,5757 
    981                                   0,5761 
    982                                   0,5764 
    983                                   0,5768 
    984                                   0,5772 
    985                                   0,5775 
    986                                   0,5779 
    987                                   0,5782 
    988                                   0,5786 
    989                                   0,5790 
    990                                   0,5793 
    991                                   0,5797 
    992                                   0,5800 
    993                                   0,5804 
    994                                   0,5808 
    995                                   0,5811 
    996                                   0,5815 
    997                                   0,5819 
    998                                   0,5822 
    999                                   0,5826 
   1000                                   0,5829 
