100
  65527                68921460816296740000,0000 
  65528                  451621656290947710,0000 
  65529                    2959386389343323,0000 
  65530                      19392563070727,8440 
  65531                        127079465802,4696 
  65532                           832764447,3402 
  65533                             5457271,9663 
  65534                               35763,1304 
  65535                                 234,3601 
  65536                                   1,5259 
