1
    900                                  10,1019 
    901                                  10,1826 
    902                                  10,2646 
    903                                  10,3480 
    904                                  10,4327 
    905                                  10,5189 
    906                                  10,6064 
    907                                  10,6955 
    908                                  10,7861 
    909                                  10,8782 
    910                                  10,9719 
    911                                  11,0673 
    912                                  11,1643 
    913                                  11,2630 
    914                                  11,3634 
    915                                  11,4657 
    916                                  11,5698 
    917                                  11,6758 
    918                                  11,7837 
    919                                  11,8937 
    920                                  12,0056 
    921                                  12,1197 
    922                                  12,2359 
    923                                  12,3544 
    924                                  12,4751 
    925                                  12,5981 
    926                                  12,7236 
    927                                  12,8515 
    928                                  12,9819 
    929                                  13,1150 
    930                                  13,2507 
    931                                  13,3892 
    932                                  13,5305 
    933                                  13,6747 
    934                                  13,8220 
    935                                  13,9723 
    936                                  14,1258 
    937                                  14,2826 
    938                                  14,4427 
    939                                  14,6064 
    940                                  14,7736 
    941                                  14,9445 
    942                                  15,1193 
    943                                  15,2979 
    944                                  15,4806 
    945                                  15,6675 
    946                                  15,8587 
    947                                  16,0544 
    948                                  16,2547 
    949                                  16,4597 
    950                                  16,6696 
    951                                  16,8845 
    952                                  17,1047 
    953                                  17,3304 
    954                                  17,5616 
    955                                  17,7986 
    956                                  18,0416 
    957                                  18,2908 
    958                                  18,5464 
    959                                  18,8086 
    960                                  19,0777 
    961                                  19,3540 
    962                                  19,6376 
    963                                  19,9289 
    964                                  20,2281 
    965                                  20,5356 
    966                                  20,8516 
    967                                  21,1764 
    968                                  21,5105 
    969                                  21,8541 
    970                                  22,2076 
    971                                  22,5715 
    972                                  22,9460 
    973                                  23,3317 
    974                                  23,7290 
    975                                  24,1384 
    976                                  24,5603 
    977                                  24,9952 
    978                                  25,4438 
    979                                  25,9065 
    980                                  26,3840 
    981                                  26,8769 
    982                                  27,3859 
    983                                  27,9116 
    984                                  28,4548 
    985                                  29,0162 
    986                                  29,5967 
    987                                  30,1972 
    988                                  30,8184 
    989                                  31,4615 
    990                                  32,1272 
    991                                  32,8169 
    992                                  33,5314 
    993                                  34,2721 
    994                                  35,0401 
    995                                  35,8369 
    996                                  36,6636 
    997                                  37,5220 
    998                                  38,4134 
    999                                  39,3396 
   1000                                  40,3022 
