1.0E-6
  65527                        732717066011,7946 
  65528                         48012751183,5549 
  65529                          3146179558,5560 
  65530                           206165999,2926 
  65531                            13510056,9336 
  65532                              885326,5409 
  65533                               58016,2189 
  65534                                3800,9769 
  65535                                 248,0932 
  65536                                  15,2588 
